resto_name,address,area,opening_hours,closing_hours,start_price,end_price,average_price,rating,type
Soon Fatt Chinese Restaurant JGC,"Ruko The Boulevard no. 39, Jl. Jkt Garden City Boulevard, RT.11/RW.8, Cakung Tim., Kec. Cakung, Jakarta, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,10.00,22.00,50000,75000,62500,4.7,Restoran
Sambal Bakar Indonesia JGC,"Ruko Cleon Park Jakarta Garden City, Jl. Jkt Garden City Boulevard, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,10.00,24.00,25000,50000,37500,4.4,Restoran
Shu Guo Yin Xiang Kelapa Gading,"Old Shanghai Sedayu City, Unit D2, Cakung Bar., Kec. Cakung, Daerah Khusus Ibukota Jakarta 13920",Jakarta Timur,10.00,23.00,50000,150000,100000,4.8,Restoran
Layar Seafood Dan Ikan Bakar Sedayu City,"RT.8/RW.5, Rawa Terate, Cakung, East Jakarta City, Jakarta 13920",Jakarta Timur,11.00,22.00,100000,200000,150000,4.6,Restoran
Global Bakery Cakung,"Jl. Tipar Cakung No.2, RT.5/RW.8, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,06.00,23.00,10000,100000,55000,4.9,Bakery
Ketan Susu Cakung (KESUSU),"Jl. Tipar Cakung No.KM 23, RT.9/RW.5, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,04.00,22.00,5000,20000,12500,5,PKL
Pabbo Unifirst  -  Coffee & Social Space,"Food Garden, RT.11, RW.8, Cakung Tim., Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,00.01,24.00,25000,50000,37500,4.6,Café
Warung Nasi Bebek Ibu Sa'adah,"Jl. Komarudin Lama No.5 7, RT.7/RW.7, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",Jakarta Timur,11.00,22.00,10000,30000,20000,4.4,PKL
Bakso Mas Memble,"Jl. Kp. Pedaengan No.14, RT.14/RW.8, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,12.15,9.45 ,5000,30000,17500,4.7,PKL
Yoshinoya,"1, Jl. Raya Bekasi No.26, RT.1/RW.3, Rw. Terate, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13920",Jakarta Timur,10.00,22.00,10000,60000,35000,4,Restoran
SURASA Restaurant,"Jl Sedayu City Boulevard Selatan No.55 - 56, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,07.00,21.00,50000,150000,100000,4.8,Restoran
Imperial Kitchen & Dimsum  -  Lulu Hypermarket,"Jl. Taman Modern Jl. Raya Bekasi No.KM 24 Blok G  -  02, Plaza, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960",Jakarta Timur,10.00,22.00,10000,100000,55000,4.1,Restoran
Warteg Gempol,"Gempol Jl. Balai Rakyat, RT.5/RW.1, Cakung Tim., Jakarta Timur, DKI Jakarta, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,00.01,24.00,5000,20000,12500,4.7,PKL
Gyu - Kaku Japanese BBQ  -  ÆON Mall JGC,"AEON JGC. Ground Floor, Unite #, Jl. Jkt Garden City Boulevard No.48 G, RT.1/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,10.00,22.00,10000,100000,55000,4.1,Restoran
Lazatto Chicken,"QWXV+P4V, RT.7/RW.5, Pulo Gebang, Cakung, East Jakarta City, Jakarta 13940",Jakarta Timur,07.00,21.00,10000,30000,20000,4.1,Restoran
AR - Roja Kebuli,"Jl. Dr. Sumarno, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,10.00,22.00,10000,100000,55000,4.9,PKL
WARTEG PUTRA BAHARI 120,"7, RT.7/RW.5, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,00.01,24.00,5000,20000,12500,4.4,PKL
NASI GORENG PADANG GUCHY PARESTO,"Jl. Dr. Sumarno No.55, RT.4/RW.4, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,17.00,01.00,15000,30000,22500,4.5,PKL
Mie Gacoan Jakarta  -  JGC Cakung,"Jl. Jkt Garden City Boulevard, RT.7/RW.9, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,00.01,24.00,10000,30000,20000,4.2,Restoran
"Marugame Udon, Green Terrace TMII, Lantai GF","Pintu 1 Tmii No.08 Blok D, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,10.00,22.00,20000,100000,60000,4.6,Restoran
Resto Pondok Tepi Danau TMII,"MVWV+FRW, Ceger, Cipayung, East Jakarta City, Jakarta 13820",Jakarta Timur,10.00,22.00,10000,100000,55000,3.8,Restoran
Soha Arabic & Indonesian Food,"Soha Arabic & Indonesian Food, Komplek Masjid Soleh Hawa Jl. Raya Ceger No.3, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,11.00,22.00,30000,100000,65000,4.8,Restoran
BBQ BURGER BAKAR & STEAK,"Jl. Rw. Binong, RT.3/RW.10, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810",Jakarta Timur,11.00,22.00,10000,30000,20000,4.6,PKL
